week_date,actual,in_sample,oos_val,is_live,pred_persistence,pred_hgb,pred_rf,pred_gbm,pred_elasticnet,pred_ridge,pred_ensemble
2000-01-03,1.252,1,0,0,1.26,1.2895354762798936,1.5536228282526143,1.2787062766462682,2.1022119660144676,1.2327269650484276,1.44263542293075
2000-01-10,1.252,1,0,0,1.252,1.2851026891054014,1.3284680732884346,1.277210597559859,1.771500893048258,1.254021376795512,1.359979607835826
2000-01-17,1.307,1,0,0,1.252,1.29349994355846,1.3340541826346628,1.2967002459202968,1.5931562647354554,1.2760925568786745,1.3438844323012409
2000-01-24,1.307,1,0,0,1.307,1.2956405178856183,1.332003362997711,1.3230839386413054,1.5417784395900498,1.325684554019839,1.3547662525216513
2000-01-31,1.319,1,0,0,1.307,1.3059775377107383,1.3294986578359589,1.3319567400952366,1.5543253294688537,1.298639258356926,1.3530634966319317
2000-02-07,1.35,1,0,0,1.319,1.3471263343554183,1.3587723564891592,1.3471703388912915,1.5660177021783381,1.3504170101991764,1.385091638567705
2000-02-14,1.4,1,0,0,1.35,1.3876895059353238,1.409033713543869,1.3789445250665793,1.5838636278151743,1.4057921828399322,1.4256191295228047
2000-02-21,1.413,1,0,0,1.4,1.4343902909095467,1.4297403910773012,1.4425294334001444,1.612318261640919,1.4557780384501222,1.4699205817839736
2000-02-28,1.49,1,0,0,1.413,1.4530877789078491,1.4732395348359797,1.4568503328624314,1.6337613232374362,1.4594976730008595,1.4877990934356626
2000-03-06,1.511,1,0,0,1.49,1.5120592603815302,1.4993048534233844,1.5090039090596974,1.675002364469734,1.5219732994902426,1.538474927300617
2000-03-13,1.508,1,0,0,1.511,1.5122794171326908,1.501360773841573,1.5137002061591007,1.7056324603496793,1.5533479134707988,1.5532848416160019
2000-03-20,1.484,1,0,0,1.508,1.5054018247988363,1.4966703872427245,1.5123440077875219,1.7198525622964171,1.5487019299321247,1.5519104741267276
2000-03-27,1.478,1,0,0,1.484,1.484212857445574,1.4876839875736048,1.485493484302625,1.7163812220389816,1.470768123261688,1.5188045708494955
2000-04-03,1.447,1,0,0,1.478,1.4510798043601114,1.4652681665346852,1.4646409142337902,1.709077584910961,1.479260941091964,1.5053492069207635
2000-04-10,1.415,1,0,0,1.447,1.4232533327983068,1.4410338923031254,1.4261866183478868,1.692293436341891,1.4195067752146258,1.4689286200544536
2000-04-17,1.406,1,0,0,1.415,1.4147990856275403,1.4289518086293949,1.4206571069179335,1.6704220981104139,1.4121869758009336,1.4586894491494677
2000-04-24,1.386,1,0,0,1.406,1.4053209768026296,1.4152388796966848,1.4155174533527535,1.6551019322267286,1.410267233696137,1.4506005038222751
2000-05-01,1.386,1,0,0,1.386,1.394868215331514,1.418503619966004,1.3956433777570456,1.6394619292408859,1.4024914696635584,1.4401142749294518
2000-05-08,1.466,1,0,0,1.386,1.4324819334657557,1.450321120428281,1.4224154200286536,1.6319479316281953,1.4235319702249025,1.4627870787143888
2000-05-15,1.494,1,0,0,1.466,1.507238755985893,1.4746810951865623,1.4950369360771738,1.660343705896648,1.5251608928679221,1.529335175977184
2000-05-22,1.509,1,0,0,1.494,1.5144545799958826,1.5062418531838822,1.5055204747400939,1.6891507278623585,1.516288724990376,1.540014189145262
2000-05-29,1.535,1,0,0,1.509,1.520650718244959,1.5173079030643606,1.515056500593448,1.7117929234792106,1.5118963607295741,1.5474236158315424
2000-06-05,1.535,1,0,0,1.535,1.5373173218335432,1.5275476892281943,1.5389475406043303,1.7332333145895242,1.5126525338712653,1.5610949807869032
2000-06-12,1.535,1,0,0,1.535,1.5384936933209226,1.534773118322188,1.5386241940362044,1.7427157070134098,1.513834153528021,1.5642061629291213
2000-06-19,1.535,1,0,0,1.535,1.5452607086246153,1.532729337478894,1.5453376670509291,1.7467936682014704,1.5199138676719974,1.5690161533467935
2000-06-26,1.606,1,0,0,1.535,1.5600744240404159,1.5633153447397907,1.560830931137374,1.748140958931864,1.522574332974015,1.5808714156382389
2000-07-03,1.571,1,0,0,1.606,1.596680523567992,1.5540240134517718,1.6010575401649765,1.7760094593846971,1.6111100827952678,1.6240363590532865
2000-07-10,1.521,1,0,0,1.571,1.5248560195374736,1.5261469166174753,1.5298827815324894,1.7790035080576643,1.5428538128036509,1.5719977195409178
2000-07-17,1.499,1,0,0,1.521,1.490907625084683,1.5106687333411764,1.497672244491483,1.760143003993277,1.4694215855327923,1.5329010317186746
2000-07-24,1.447,1,0,0,1.499,1.4686549202212014,1.4646014550305784,1.4742969609599892,1.7389604855143785,1.4577329511112311,1.5098722643163511
