week_date,actual,in_sample,oos_val,is_live,pred_persistence,pred_hgb,pred_rf,pred_gbm,pred_elasticnet,pred_ridge,pred_ensemble
2000-01-03,1.252,1,0,0,1.26,1.2939357262381277,1.5751184063857608,1.271910905190313,2.0574926770086885,1.1241125347209062,1.3957455810979205
2000-01-10,1.268,1,0,0,1.252,1.2662144305851617,1.3789918149739302,1.2732782228153172,1.6991974052559058,1.2236869580362195,1.336420113506928
2000-01-17,1.307,1,0,0,1.268,1.2999135687827512,1.3649714938821236,1.31903396454531,1.5139803340496123,1.2714878762909454,1.3375932365731442
2000-01-24,1.307,1,0,0,1.307,1.303393259624408,1.3440659184274342,1.322480070399174,1.4614841351432695,1.3151259319739264,1.3399804596679137
2000-01-31,1.319,1,0,0,1.307,1.3078883063644051,1.3490059476390692,1.3261931783150935,1.473213865777405,1.3159253962514736,1.344463495648554
2000-02-07,1.35,1,0,0,1.319,1.3612235311168737,1.379091920439334,1.3501067216452296,1.4844622548570832,1.3711321734018336,1.381996367379879
2000-02-14,1.4,1,0,0,1.35,1.385949558047736,1.4117776149807513,1.3791913916714553,1.5026948732543879,1.3656617871450218,1.3999233159342546
2000-02-21,1.413,1,0,0,1.4,1.430891688896119,1.4300145337042804,1.430672507465836,1.5334559720114533,1.4275311286945778,1.4451651190809254
2000-02-28,1.49,1,0,0,1.413,1.463438056778941,1.4752892725567046,1.4579271355092576,1.5565941776783911,1.4743819704329488,1.4805044470176951
2000-03-06,1.511,1,0,0,1.49,1.5082933048953235,1.4943764334399876,1.5057692793588164,1.6010102554868821,1.5384055342414653,1.5275896987599002
2000-03-13,1.508,1,0,0,1.511,1.505784785991343,1.504503362597413,1.5069125311348273,1.6339444321028136,1.5606519968174335,1.5394013876539305
2000-03-20,1.484,1,0,0,1.508,1.5111725056605736,1.5031915954205295,1.505968234038884,1.6492305391996411,1.5641297570231858,1.54338843339443
2000-03-27,1.478,1,0,0,1.484,1.4817047256155358,1.4878824745224823,1.4832980820881498,1.6451456438017702,1.4795075875520813,1.5067419074520196
2000-04-03,1.447,1,0,0,1.478,1.4539192686676568,1.4633121740634147,1.4628008626118825,1.6371513254123515,1.462770388274539,1.4869479162567776
2000-04-10,1.415,1,0,0,1.447,1.4291848777951934,1.4456030371306008,1.4395674339333473,1.619036262552009,1.4367170229615327,1.4641441534370678
2000-04-17,1.406,1,0,0,1.415,1.4110192222197278,1.4265591316394692,1.4249556341081338,1.5954856569507714,1.41915307692739,1.4460497344308592
