week_date,regime_int,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2000-01-03,0.0,NORMAL,1.0,2.5179236751915234e-155,0.0,6.527745539507247e-57
2000-01-10,0.0,NORMAL,0.999941063422546,2.150660286225946e-12,0.0,5.893657535504507e-05
2000-01-17,0.0,NORMAL,0.9999396508769,2.7879913760501685e-12,0.0,6.034912034799383e-05
2000-01-24,0.0,NORMAL,0.9999226549354728,1.3478047071419414e-11,0.0,7.734505100941924e-05
2000-01-31,0.0,NORMAL,0.9994717097462033,1.457916802480823e-11,0.0,0.0005282902392458262
2000-02-07,0.0,NORMAL,0.9999437825406539,1.1648328925350256e-12,0.0,5.6217458190416917e-05
2000-02-14,0.0,NORMAL,0.9999536317692614,2.7304988360261348e-11,0.0,4.636820337788032e-05
2000-02-21,0.0,NORMAL,0.999038392044443,3.5140372434544767e-09,0.0,0.0009616044415645034
2000-02-28,0.0,NORMAL,0.9782342026084025,1.9130733177056275e-07,0.0,0.021765606084214646
2000-03-06,0.0,NORMAL,0.9451396330380866,5.921402661184797e-07,0.0,0.054859774821620154
2000-03-13,3.0,SUPPLY_SHOCK_3,0.05818527197394538,0.00018976461298880797,0.0,0.9416249634130481
2000-03-20,3.0,SUPPLY_SHOCK_3,0.28909182793995764,6.658591844825708e-06,0.0,0.7109015134681642
2000-03-27,0.0,NORMAL,0.9055331245557453,2.8652317786637154e-07,0.0,0.09446658892113208
2000-04-03,0.0,NORMAL,0.9815191303225969,2.987184651359613e-08,0.0,0.018480839805573954
2000-04-10,0.0,NORMAL,0.9972980084789321,9.744125125027058e-10,0.0,0.002701990546688178
2000-04-17,0.0,NORMAL,0.9943063087823054,1.491277633917496e-09,0.0,0.005693689726363475
2000-04-24,0.0,NORMAL,0.9946621405971671,2.994114964857405e-10,0.0,0.005337859103472583
2000-05-01,0.0,NORMAL,0.9978306929352144,4.55248254992092e-13,0.0,0.002169307064325248
2000-05-08,0.0,NORMAL,0.9999937339777809,7.16239586794551e-14,0.0,6.26602212238539e-06
2000-05-15,0.0,NORMAL,0.9993783892957894,1.743986590628737e-10,0.0,0.0006216105298204676
2000-05-22,0.0,NORMAL,0.9974380769843405,6.349139188185044e-09,0.0,0.0025619166664752747
2000-05-29,0.0,NORMAL,0.9917414389293632,5.8461694598328886e-08,0.0,0.008258502608938623
2000-06-05,0.0,NORMAL,0.969495219531963,1.5796864589658023e-06,0.0,0.03050320078158574
2000-06-12,0.0,NORMAL,0.8839990788580504,1.1894646148449568e-06,0.0,0.1159997316773598
2000-06-19,3.0,SUPPLY_SHOCK_3,0.25815866518211533,6.0189467890819983e-05,0.0,0.7417811453499976
2000-06-26,3.0,SUPPLY_SHOCK_3,0.22869768928488013,6.250825475348398e-05,0.0,0.7712398024603335
2000-07-03,3.0,SUPPLY_SHOCK_3,0.29331485075988356,6.358534739391794e-05,0.0,0.7066215638927235
2000-07-10,3.0,SUPPLY_SHOCK_3,0.27421015468446985,1.8175744753520655e-05,0.0,0.725771669570794
2000-07-17,3.0,SUPPLY_SHOCK_3,0.19844289774392374,1.1714449134340926e-06,0.0,0.8015559308112088
2000-07-24,3.0,SUPPLY_SHOCK_3,0.0019155309293134068,3.3828899150036967e-07,0.0,0.998084130781718
2000-07-31,3.0,SUPPLY_SHOCK_3,0.00012445702272947799,1.2508842441840849e-07,0.0,0.9998754178888523
2000-08-07,3.0,SUPPLY_SHOCK_3,0.0011326391661811766,2.8869545764250207e-08,0.0,0.9988673319642595
2000-08-14,0.0,NORMAL,0.8506736152684281,5.333594365975947e-12,0.0,0.14932638472625226
2000-08-21,0.0,NORMAL,0.9998308694132437,8.891087012983255e-14,0.0,0.00016913058668235897
2000-08-28,0.0,NORMAL,0.9999450385795308,3.9194124859831115e-12,0.0,5.496141651477871e-05
2000-09-04,0.0,NORMAL,0.9987075701224994,2.608459629389501e-09,0.0,0.0012924272690076025
2000-09-11,0.0,NORMAL,0.5180708578544423,8.395686327811007e-06,0.0,0.4819207464592726
2000-09-18,3.0,SUPPLY_SHOCK_3,0.016455489338238607,5.47076737385472e-05,0.0,0.9834898029880684
2000-09-25,3.0,SUPPLY_SHOCK_3,0.005333172144252611,2.5573538951250586e-05,0.0,0.9946412543168043
2000-10-02,3.0,SUPPLY_SHOCK_3,0.003108664430105747,4.759646301426846e-05,0.0,0.9968437391068306
2000-10-09,0.0,NORMAL,0.9906236784865637,2.5309080461184873e-09,0.0,0.009376318982481781
2000-10-16,0.0,NORMAL,0.997943323576639,3.254932464276679e-09,0.0,0.0020566731683975344
2000-10-23,0.0,NORMAL,0.9549481931618138,3.0202905853243044e-08,0.0,0.04505177663532965
2000-10-30,0.0,NORMAL,0.9992217222781036,6.333020522210979e-13,0.0,0.0007782777212456478
2000-11-06,0.0,NORMAL,0.9999838288417925,3.285119558427994e-14,0.0,1.6171158190877276e-05
2000-11-13,0.0,NORMAL,0.999993196397734,6.647517815289256e-13,0.0,6.803601653921417e-06
2000-11-20,0.0,NORMAL,0.9997268616318843,1.2444303865759287e-10,0.0,0.00027313824365041123
2000-11-27,0.0,NORMAL,1.0,3.631066523046779e-157,0.0,2.6399635319079647e-57
2000-12-04,0.0,NORMAL,0.9999698395477908,1.332022156723337e-12,0.0,3.0160450141065762e-05
2000-12-11,0.0,NORMAL,0.997198184211513,2.3821982819939526e-10,0.0,0.002801815550639256
